iso2c,iso3c,year,electricity_access,alternative_energy,electricity_consumption,energy_imports,energy_intensity,energy_use,fossil_fuel_consumption,fuel_exports,energy_unit_use_gdp,energy_investment_private,ores_metal_exports,renewable_electricity_output,renewable_energy_consumption,time_electricity,resources_rents,electricity_access_ru,electricity_access_ur
MO,MAC,2018,100,,,,0.47,,,,,,22.8496890404647,,8.43,,0.000369156085317719,100,100
MO,MAC,2019,100,,,,0.5,,,0,,,19.277132468758,,8.43,,0.000338733455599278,100,100
MO,MAC,2020,100,,,,,,,0,,,17.9232048667689,,,,0.000874755294289731,100,100
MG,MDG,2000,12.7241897583008,,,,6.03,,,3.79939840462356,,,2.06915158080291,61.1259803089257,82.62,,3.28334073396984,,48.0276069641113
MG,MDG,2001,14.8000001907349,,,,5.72,,,1.16599282715189,,,1.26899268046265,59.6193643817127,84.32,,2.78738585954674,4.50706338882446,42.0848693847656
MG,MDG,2002,14.0465755462646,,,,6.37,,,1.95967332286693,,,1.37329736562457,60.2930672045339,87.35,,3.50534579189857,,50.0019493103027
MG,MDG,2003,20.2999992370605,,,,6.17,,,4.28006818205514,,,1.41185429792336,59.7626389344839,84.99,,5.21855839805851,7.73996543884277,52.7000007629395
MG,MDG,2004,15.3480186462402,,,,6.06,,,1.78555239202322,,,2.49119521107705,56.232061074084,84.44,,6.16053834307433,0.945336401462555,51.9987640380859
MG,MDG,2005,15.9967613220215,,,,5.88,,,1.05388767197136,,,3.93978695499798,56.4033591820571,84.94,,5.41186258826167,1.00964462757111,53.0229606628418
MG,MDG,2006,16.6473751068115,,,,5.67,,,5.51020605465603,,,3.60694833869441,54.3533046855736,86.03,,5.62459958306537,1.04404270648956,54.0715103149414
MG,MDG,2007,17.30251121521,,,,5.55,,,4.69193890935626,,17800000,3.29266189041184,58.849799131578,86.19,,6.43424742711056,1.05286622047424,55.1408271789551
MG,MDG,2008,17.964879989624,,,,5.45,,,5.84184716246977,,,3.22106828577417,54.9408347243365,86.14,,5.80936537773768,1.03938329219818,56.2252235412598
MG,MDG,2009,17.3999996185303,,,,5.84,,,4.92405323519234,,,3.01579052541146,58.1708546342934,87.07,450,6.87903891368161,,68.5999984741211
MG,MDG,2010,12.3000001907349,,,,6.08,,,6.65083710390113,,,9.46323069689924,52.2846324063118,86.66,450,5.80844500368806,,39.0999984741211
MG,MDG,2011,14.3000001907349,,,,6.34,,,6.8932279150142,,,11.5735408001595,48.0190533691882,84.6,450,5.89534425001325,,61.5
MG,MDG,2012,18.7000007629395,,,,6.48,,,6.95883124596425,,,19.4690357123741,49.6895063677508,83.4,450,6.68103535727313,,72.8000030517578
MG,MDG,2013,12.8999996185303,,,,6.7,,,4.67248311863291,,,31.5246709396896,50.7720298205657,81.17,450,6.75454497931219,,60.7000007629395
MG,MDG,2014,22.2350730895996,,,,6.65,,,3.86363708815466,,,36.8177201264941,53.3069563549091,80.12,450,7.24568725285742,0.868311643600464,62.7399787902832
MG,MDG,2015,23.0059337615967,,,,6.68,,,3.037464553468,,,34.7956561990925,54.5964565549528,80.55,450,8.615528908421,0.855837643146515,63.7947616577148
MG,MDG,2016,22.8999996185303,,,,7.86,,,1.91043628014382,,,25.5697528860728,,83.85,450,8.77447035740021,,67.3000030517578
MG,MDG,2017,24.1000003814697,,,,8.03,,,1.64702732182861,,,22.1365554659067,,81.32,450,7.64805114759521,,66.262565612793
MG,MDG,2018,36.5,,,,8.5,,,2.36826030618111,,,25.0646866729427,,83.74,450,4.81291390905137,,
MG,MDG,2019,31.0400009155273,,,,8.56,,,2.96366683770708,,,27.3763452219571,,82.77,450,4.73308184472882,,
MG,MDG,2020,33.7350769042969,,,,,,,0.972381709982499,,1.9e+07,17.4413698032282,,,,5.33849784965124,10.8984851837158,70.1619720458984
MW,MWI,2000,4.80000019073486,,,,5.29,,,0.175344633661665,,,0.216157815910987,84.257748776509,82.62,,10.0695043320609,0.710772693157196,28.7000007629395
MW,MWI,2001,5.13952016830444,,,,5.51,,,0.136570604940105,,,0.242545939230887,85.956493921945,83.13,,9.87738226419416,1.22973394393921,27.830530166626
MW,MWI,2002,5.53415966033936,,,,5.66,,,0.0177546819487274,,,0.269744707847486,85.9680012248335,83.3,,5.77539514440538,1.48309254646301,28.8810882568359
MW,MWI,2003,6.19999980926514,,,,5.43,,,0.113642390702768,,,0.103044705457276,87.334282076249,82.83,,8.60716024658285,0.792392671108246,37.1460609436035
